algorithm,n,type,domain,sample,status,time_seconds,max_rss_kb,error
quick,1000,ascendente,D1,c,OK,3.553e-05,3456,
patience,1000,ascendente,D1,c,OK,0.000150212,3328,
std,1000,ascendente,D1,c,OK,6.465e-06,3456,
merge,1000,ascendente,D7,a,OK,3.5321e-05,3328,
quick,1000,ascendente,D7,a,OK,9.095e-06,3456,
patience,1000,ascendente,D7,a,OK,0.000511456,4224,
std,1000,ascendente,D7,a,OK,5.704e-06,3456,
merge,1000,ascendente,D7,b,OK,3.5147e-05,3328,
quick,1000,ascendente,D7,b,OK,8.915e-06,3456,
patience,1000,ascendente,D7,b,OK,0.000496033,4096,
std,1000,ascendente,D7,b,OK,5.894e-06,3328,
merge,1000,ascendente,D7,c,OK,3.5189e-05,3328,
quick,1000,ascendente,D7,c,OK,9.122e-06,3456,
patience,1000,ascendente,D7,c,OK,0.000534969,4224,
std,1000,ascendente,D7,c,OK,5.831e-06,3328,
merge,1000,descendente,D1,a,OK,3.8812e-05,3328,
quick,1000,descendente,D1,a,OK,3.4432e-05,3328,
patience,1000,descendente,D1,a,OK,6.8563e-05,3328,
std,1000,descendente,D1,a,OK,6.937e-06,3328,
merge,1000,descendente,D1,b,OK,3.8787e-05,3456,
quick,1000,descendente,D1,b,OK,3.4343e-05,3456,
patience,1000,descendente,D1,b,OK,6.8276e-05,3328,
std,1000,descendente,D1,b,OK,7.086e-06,3456,
merge,1000,descendente,D1,c,OK,3.9856e-05,3456,
quick,1000,descendente,D1,c,OK,3.4825e-05,3328,
patience,1000,descendente,D1,c,OK,6.7941e-05,3328,
std,1000,descendente,D1,c,OK,7.215e-06,3328,
merge,1000,descendente,D7,a,OK,3.4762e-05,3456,
quick,1000,descendente,D7,a,OK,1.9212e-05,3456,
patience,1000,descendente,D7,a,OK,6.8315e-05,3328,
std,1000,descendente,D7,a,OK,4.073e-06,3328,
merge,1000,descendente,D7,b,OK,3.466e-05,3328,
quick,1000,descendente,D7,b,OK,2.0198e-05,3328,
patience,1000,descendente,D7,b,OK,7.1523e-05,3456,
std,1000,descendente,D7,b,OK,4.248e-06,3456,
merge,1000,descendente,D7,c,OK,3.5773e-05,3456,
quick,1000,descendente,D7,c,OK,1.8617e-05,3328,
patience,1000,descendente,D7,c,OK,7.3109e-05,3456,
std,1000,descendente,D7,c,OK,4.495e-06,3456,
merge,10,aleatorio,D1,a,OK,1.498e-06,3328,
quick,10,aleatorio,D1,a,OK,8.19e-07,3456,
patience,10,aleatorio,D1,a,OK,5.527e-06,3456,
std,10,aleatorio,D1,a,OK,8.16e-07,3328,
merge,10,aleatorio,D1,b,OK,1.768e-06,3456,
quick,10,aleatorio,D1,b,OK,7.61e-07,3328,
patience,10,aleatorio,D1,b,OK,6.417e-06,3456,
std,10,aleatorio,D1,b,OK,1.056e-06,3328,
merge,10,aleatorio,D1,c,OK,1.375e-06,3456,
